start_station_name,lat,lon
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924
Damen Ave & Leland Ave,41.967094,-87.679028
Calumet Ave & 18th St,41.857624054,-87.619433761
Ellis Ave & 53rd St,41.79933626261,-87.6009581145
Stony Island Ave & 71st St,41.766528,-87.586479
Delano Ct & Roosevelt Rd,41.867491,-87.63219
Larrabee St & Kingsbury St,41.89763233333333,-87.64338816666667
Central Park Ave & Ohio St,41.89,-87.72
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743
Paulina St & Howard St,42.019159,-87.673573
Eckhart Park,41.89637337,-87.66098386
S Wentworth Ave & W 111th St,41.69,-87.63
Elston Ave & Cortland St,41.91643342912655,-87.66674637794495
Stony Island Ave & 67th St,41.77345849948,-87.5853397391
Clark St & Armitage Ave,41.918306,-87.636282
Sedgwick St & Webster Ave,41.92220916666667,-87.63901
Sheridan Rd & Irving Park Rd,41.954245,-87.654406
Desplaines St & Jackson Blvd,41.87809033333333,-87.64419666666667
Leavitt St & Belmont Ave,41.93928016666667,-87.68329833333334
Sheridan Rd & Lawrence Ave,41.969490666666665,-87.65468116666666
Southport Ave & Clybourn Ave,41.920771,-87.663712
Campbell Ave & North Ave,41.910535,-87.689556
State St & Chicago Ave,41.89661720040753,-87.62857854366302
Smith Park,41.892083406,-87.689415336
Larrabee St & North Ave,41.910213113,-87.643490434
Field Blvd & South Water St,41.88577966666666,-87.61723066666667
Franklin St & Lake St,41.885837,-87.6355
Canal St & Harrison St,41.874275327,-87.639575839
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072
Leavitt St & Division St,41.902997,-87.683825
N Green St & W Lake St,41.89,-87.65
Clarendon Ave & Junior Ter,41.961004,-87.649603
Milwaukee Ave & Wabansia Ave,41.9126325,-87.68147733333333
Shedd Aquarium,41.867253184,-87.615377069
Dusable Harbor,41.886976,-87.612813
Halsted St & Roosevelt Rd,41.867324,-87.648625
Southport Ave & Belmont Ave,41.93947775040509,-87.6637476682663
Fairbanks St & Superior St,41.895748,-87.620104
Western Ave & Congress Pkwy,41.874601841,-87.686299562
Dearborn St & Erie St,41.893992,-87.629318
May St & Taylor St,41.8694821,-87.6554864
Cottage Grove Ave & 51st St,41.803038,-87.606615
Hermitage Ave & Polk St,41.87150016666666,-87.6700125
900 W Harrison St,41.874779105,-87.649842381
Racine Ave & Wrightwood Ave,41.928887,-87.658971
South Shore Dr & 71st St,41.7664094567,-87.5656875719
Cottage Grove Ave & 63rd St,41.78060094521422,-87.60583609342575
Broadway & Sheridan Rd,41.952833,-87.649993
Western Ave & Walton St,41.89841768945,-87.6865960164
Clark St & Berwyn Ave,41.97803062248656,-87.66856491565704
Avondale Ave & Irving Park Rd,41.95337783333333,-87.73208283333334
Franklin St & Adams St (Temp),41.87876883333333,-87.63592683333333
Clark St & Winnemac Ave,41.973334,-87.66789666666666
Damen Ave & Madison St,41.88142316666666,-87.67497666666667
Clark St & Montrose Ave,41.961588,-87.666036
Kimball Ave & Belmont Ave,41.939398,-87.711561
Western Ave & Fillmore St,41.868626237,-87.686233401
Halsted St & 37th St,41.827059,-87.64572
Larrabee St & Oak St,41.90025466666667,-87.64300033333333
Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536
Paulina St & 18th St,41.857901,-87.668745
Racine Ave & 18th St,41.858166,-87.656495
Western Ave & 24th St,41.84847,-87.685109
Clark St & Newport St,41.94454,-87.654678
Lincoln Ave & Addison St,41.94627883333333,-87.67335933333334
Maplewood Ave & Peterson Ave,41.99023602867,-87.6933696402
